temperature,humidity,pressure,wind_speed,clouds,rain,cloudiness
22.5,65,1013,3.5,40,0,1
18.3,78,1008,5.2,75,1,1
25.1,55,1015,2.1,15,0,0
15.7,82,1005,7.8,90,1,1
28.4,45,1018,1.5,10,0,0
12.8,88,1002,9.3,95,1,1
20.5,68,1011,4.2,55,0,1
24.8,52,1016,2.8,20,0,0
16.2,85,1004,8.1,85,1,1
30.1,38,1020,1.2,5,0,0
19.5,72,1009,5.5,65,1,1
26.3,48,1017,2.3,25,0,0
14.5,90,1001,10.2,98,1,1
23.2,58,1014,3.1,35,0,1
17.8,80,1006,6.5,80,1,1
29.5,42,1019,1.8,12,0,0
21.3,70,1010,4.8,60,0,1
27.2,50,1016,2.5,18,0,0
13.5,92,1000,11.5,99,1,1
25.8,54,1015,3.2,30,0,1
18.9,76,1007,6.2,72,1,1
31.2,35,1021,0.9,3,0,0
20.1,69,1012,4.5,50,0,1
24.5,56,1014,2.9,22,0,0
15.3,87,1003,8.8,88,1,1
28.7,44,1018,1.6,8,0,0
19.8,74,1008,5.8,68,1,1
26.8,51,1016,2.6,28,0,0
14.2,91,1001,10.8,97,1,1
23.8,60,1013,3.4,38,0,1
17.5,83,1005,7.2,82,1,1
30.5,40,1020,1.3,6,0,0
21.8,67,1011,4.3,52,0,1
25.5,53,1015,3.0,24,0,0
16.8,84,1004,8.5,86,1,1
29.2,41,1019,1.4,9,0,0
20.3,71,1010,5.1,62,0,1
27.5,49,1017,2.4,20,0,0
13.8,93,1000,11.2,99,1,1
24.2,57,1014,3.3,32,0,1
18.5,79,1006,6.8,78,1,1
31.8,33,1022,0.8,2,0,0
22.1,66,1012,4.1,48,0,1
26.1,52,1015,2.7,26,0,0
15.9,86,1003,9.1,90,1,1
28.1,46,1018,1.7,11,0,0
19.2,75,1008,6.0,70,1,1
25.2,55,1015,3.1,27,0,1
14.8,89,1002,10.5,96,1,1
23.5,59,1013,3.6,36,0,1
17.2,81,1005,7.5,84,1,1
30.8,39,1020,1.1,4,0,0
21.5,68,1011,4.6,54,0,1
27.8,48,1017,2.2,19,0,0
13.2,94,999,12.0,100,1,1
24.8,56,1014,3.2,29,0,1
18.2,77,1007,6.4,74,1,1
32.1,32,1023,0.7,1,0,0
22.8,64,1012,3.9,46,0,1
26.5,51,1016,2.8,23,0,0
16.5,85,1004,8.9,89,1,1
28.5,43,1018,1.5,10,0,0
19.5,73,1009,5.6,66,1,1
25.8,54,1015,3.0,28,0,1
14.5,90,1001,10.9,98,1,1
23.1,61,1013,3.5,37,0,1
17.9,82,1006,7.3,83,1,1
30.2,38,1020,1.2,5,0,0
21.2,69,1010,4.7,56,0,1
27.1,49,1017,2.5,21,0,0
13.5,92,1000,11.8,99,1,1
24.5,57,1014,3.3,31,0,1
18.8,78,1007,6.6,76,1,1
31.5,34,1022,0.9,2,0,0
22.5,65,1012,4.2,49,0,1
26.3,52,1015,2.9,25,0,0
16.1,86,1003,9.3,91,1,1
28.3,45,1018,1.6,9,0,0
19.9,74,1009,5.9,69,1,1
25.5,55,1015,3.1,28,0,1
14.9,89,1002,10.7,97,1,1
23.8,60,1013,3.7,38,0,1
17.5,81,1005,7.6,85,1,1
30.5,39,1020,1.3,6,0,0
21.8,68,1011,4.5,53,0,1
27.5,50,1017,2.6,22,0,0
13.8,93,1000,11.5,99,1,1
24.2,58,1014,3.4,33,0,1
18.5,79,1006,6.7,77,1,1
31.2,35,1021,0.8,3,0,0
22.2,66,1012,4.3,50,0,1
26.8,51,1016,2.7,24,0,0
16.5,85,1004,9.0,90,1,1
28.8,44,1019,1.7,11,0,0
19.8,75,1008,5.7,67,1,1
25.2,54,1015,3.2,29,0,1
15.2,88,1002,10.3,96,1,1
23.5,59,1013,3.6,35,0,1
17.8,80,1006,7.1,81,1,1
